company_name, Description, Technology, Location, No_of_Employees, Founded, website, linkedIn, reviews
Pony.ai,"Pony.ai is a developer of AI-based robot designed for autonomous driving.",Robotics Artificial Intelligence Autonomous Vehicles,"📍HQ: San Francisco Bay Area, California, USA",501-1000 ,2016,http://www.pony.ai/?utm_source=topstartups.io,https://linkedin.com/company/pony-ai,"https://www.glassdoor.com/Overview/Working-at-Pony-ai-EI_IE2299367.11,18.htm",
Databricks,"Databricks is a data-and-AI company that interacts with corporate information stored in the public cloud.",Artificial Intelligence  SaaS Analytics Data Science,"📍HQ: San Francisco Bay Area, California, USA",5000+ ,2013,http://databricks.com/?utm_source=topstartups.io,https://linkedin.com/company/databricks,"https://www.glassdoor.com/Reviews/Databricks-Reviews-E954734.htm",
UiPath,"UiPath is a leading provider of software automation and robotic process automation software.",Enterprise Software  Artificial Intelligence  Developer Tools,"📍HQ: New York, New York, USA",1001-5000 ,2012,http://www.uipath.com?utm_source=topstartups.io,https://linkedin.com/company/uipath,"https://www.glassdoor.com/Reviews/UiPath-Reviews-E1102519.htm",
Scale AI,"Scale AI is the data platform for AI, providing high quality training data for leading machine learning teams.",Developer APIs Artificial Intelligence Developer Tools,"📍HQ: San Francisco Bay Area, California, USA",501-1000 ,2016,http://scale.com?utm_source=topstartups.io,https://www.linkedin.com/company/scaleai/,"https://www.glassdoor.com/Overview/Working-at-Scale-EI_IE1656849.11,16.htm",
S0cure,"Socure is a predictive analytics platform for digital identity verification of consumers.",Artificial Intelligence  Cybersecurity  Enterprise Software,"📍HQ: New York, New York, USA",201-500 ,2012,http://www.socure.com?utm_source=topstartups.io,https://linkedin.com/company/socure,"https://www.glassdoor.com/Overview/Working-at-Socure-EI_IE1627708.11,17.htm?__cf_chl_jschl_tk__=sOcbNM1uhWJLTmunyANrGPXsH27Jd_RJVmQz5d6BZYY-1637032925-0-gaNycGzNCKU",
Graphcore,"Graphcore is the inventor of the Intelligence Processing Unit (IPU), a microprocessor designed for AI and machine learning applications.",Artificial Intelligence Hardware,"📍HQ: Bristol, United Kingdom",501-1000 ,2016,https://www.graphcore.ai/?utm_source=topstartups.io,https://www.linkedin.com/company/graphcore,"https://www.glassdoor.com/Reviews/Graphcore-Reviews-E2500374.htm",
Shield AI,"Shield AI develops AI products for the protection of service members and civilians.",Robotics Hardware Artificial Intelligence Drones,"📍HQ: San Diego, California, USA",101-200 ,2015,http://shieldai.com?utm_source=topstartups.io,https://linkedin.com/company/shield-ai,"https://www.glassdoor.com/Reviews/Shield-AI-Reviews-E1764043.htm",
Dialpad,"Dialpad is an AI-powered communications platform that turns conversations into opportunities and helps teams make smart calls.",SaaS  Artificial Intelligence  Call Center,"📍HQ: San Francisco Bay Area, California, USA",501-1000 ,2014,https://www.dialpad.com/?utm_source=topstartups.io,https://linkedin.com/company/dialpad,"https://www.glassdoor.com/Overview/Working-at-Dialpad-EI_IE958197.11,18.htm",
Moveworks,"Moveworks is a cloud-based AI platform.",Cloud Computing Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2016,http://www.moveworks.com/?utm_source=topstartups.io,https://linkedin.com/company/moveworksai,"https://www.glassdoor.com/Overview/Working-at-Moveworks-EI_IE1730936.11,20.htm",
Cresta,"Cresta leverages artificial intelligence to help sales and service agents improve the quality of their customer service", Artificial Intelligence Sales Enterprise Software,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2017,http://cresta.com/?utm_source=topstartups.io,https://www.linkedin.com/company/cresta-inc/,"https://www.glassdoor.com/Reviews/Cresta-Reviews-E805613.htm",
